Codigo,Valor
SICN-97,G:0 D:0
SICN-59,G:0 D:0
SICN-90,G:0 D:5.3
SICN-01,G:176.2 D:0.1
SICN125,G:0 D:0
SICN120,G:0 D:0
SICN160,G:0 D:21.3
SICN104,G:465.3 D:0
SICN-23,G:0 D:49.1
SICN212,G:0 D:0
SICN211,G:0 D:0
SICN121,G:0 D:0
SICN126,G:6.4 D:0
SICN-60,G:0 D:19.5
SICN122,G:0 D:0
SICN-64,G:0 D:79.3
SICN127,G:16 D:0
SICN-52,G:42.7 D:15.2
SICN-53,G:180 D:0.3
SICN153,G:0 D:0
SICN157,G:13.1 D:242.8
SICN-08,G:0 D:74.6
SICN-09,G:0 D:0
SICN-10,G:0 D:12.3
SICN-12,G:105.1 D:53.9
SICN-66,G:20.1 D:0.1
SICN-67,G:0 D:23.4
SICN-80,G:0 D:0
SICN-16,G:0 D:16
SICN107,G:0 D:6.5
SICN-27,G:48 D:0.1
SICN-33,G:0 D:0
SICN-34,G:0 D:0
SICN-35,G:31.9 D:116.1
SICN-36,G:8.5 D:0.1
SICN-38,G:0 D:21.7
SICN-39,G:0 D:0
SICN-40,G:0 D:48.1
SICN-45,G:0 D:3.1
SICN-56,G:19.4 D:0.5
SICN-96,G:109.9 D:20.5
SICN-57,G:0 D:0
SICN-61,G:135.2 D:0.2
SICN203,G:0 D:0
SICN156,G:0 D:0
SICN218,G:0 D:0
SICN013,G:0 D:0
SIED-10,G:0 D:99.6
SICN158,G:0 D:0
SICN-82,G:193 D:0
SICN-13,G:0 D:3
SIED-01,G:0 D:833
SICN055,G:0 D:0
SIED-04,G:0 D:2.1
SICN-20,G:187.4 D:49.4
SIED-06,G:0 D:0
SICN041,G:0 D:14.1
SICN114,G:0 D:0
SIED-08,G:40 D:77.9
SICN068,G:0 D:0
SICN141,G:0 D:20.4
SICN-68,G:0 D:0
SICN-05,G:0 D:54.6
SIED-09,G:0 D:205.7
SIED-02,G:0 D:299.8
SIED-03,G:29.1 D:297.8
SICN-41,G:88.2 D:56.7
SICN205,G:0 D:0
SIED-05,G:0 D:74.7
SICN150,G:0 D:351.9
SICN-71,G:55.2 D:31.2
SICN-70,G:0 D:0
SICN-55,G:476.5 D:5.1
SICN-58,G:0 D:5.4
SIED-07,G:0 D:235.9
SICN-02,G:0 D:0
SICN-03,G:0 D:596.8
SICN-46,G:0 D:117.2
SICN-06,G:0 D:0
SICN-07,G:96 D:0.5
SICN046,G:0 D:0
SICN201,G:0 D:0
SICN-19,G:7.2 D:254.8
SICN-21,G:31.4 D:0.2
SICN124,G:260.8 D:0.3
SICN-76,G:0 D:0
SICN177,G:0 D:108.2
SICN184,G:0 D:0
SICN284,G:0 D:11.3
SICN-30,G:134 D:0.4
SICN-31,G:122.6 D:32.7
SICN-32,G:0 D:64.1
SICN-84,G:0 D:0
SICN202,G:0 D:0
SICN019,G:0 D:76.7
SICN-44,G:0 D:363.9
SICN-47,G:0 D:88.2
SICN-48,G:0 D:583.1
SICN176,G:0 D:321.3
SICN146,G:0 D:0
